ID,date1,date2,date3,01-12-2024,2024-12-05,2024-12-05
BT22CSD001,1,0,1,0,0,0
BT22CSD002,1,0,1,0,0,0
BT22CSD003,1,0,1,0,0,0
BT22CSD004,1,0,1,0,0,0
BT22CSD005,1,0,1,0,0,0
BT22CSD006,1,0,1,0,0,0
BT22CSD007,1,0,1,0,0,0
BT22CSD008,1,0,1,0,0,0
BT22CSD009,1,0,1,0,0,0
BT22CSD010,1,0,1,0,0,0
BT22CSD011,1,0,1,0,1,1
BT22CSD012,1,0,1,0,1,1
BT22CSD013,1,0,1,0,0,0
BT22CSD014,1,0,1,0,1,1
BT22CSD015,1,0,1,0,1,1
BT22CSD016,1,0,1,0,0,0
BT22CSD017,1,0,1,0,1,1
BT22CSD018,1,0,1,0,0,0
BT22CSD019,1,0,1,0,0,0
BT22CSD020,1,0,1,0,1,1
BT22CSD021,1,0,1,0,0,0
BT22CSD022,1,0,1,0,0,0
BT22CSD023,1,0,1,0,0,0
BT22CSD024,1,0,1,0,1,1
BT22CSD025,1,0,1,0,0,0
BT22CSD026,1,0,1,0,0,0
BT22CSD027,1,0,1,0,0,0
BT22CSD028,1,0,1,0,1,1
BT22CSD029,1,0,1,0,0,0
BT22CSD030,1,0,1,0,0,0
BT22CSD031,1,0,1,0,1,1
BT22CSD032,1,0,1,0,0,0
BT22CSD033,1,0,1,0,0,0
BT22CSD034,1,0,1,0,1,1
BT22CSD035,1,0,1,0,1,1
BT22CSD036,1,0,1,0,1,1
BT22CSD037,1,0,1,0,1,1
BT22CSD038,1,0,1,0,0,0
BT22CSD039,1,0,1,0,1,1
BT22CSD040,1,0,1,0,1,1
BT22CSD041,1,0,1,0,1,1
BT22CSD042,1,0,1,0,0,0
BT22CSD043,1,0,1,0,0,0
BT22CSD044,1,0,1,0,0,0
BT22CSD045,1,0,1,0,0,0
BT22CSD046,1,0,1,0,1,1
BT22CSD047,1,0,1,0,0,0
BT22CSD048,1,0,1,0,0,0
BT22CSD049,1,0,1,0,0,0
BT22CSD050,1,0,1,0,0,0
BT22CSD051,1,0,1,0,0,0
BT22CSD052,1,0,1,0,0,0
BT22CSD053,1,0,1,0,0,0
BT22CSD054,1,0,1,0,1,1
BT22CSD055,1,0,1,0,1,1
BT22CSD056,1,0,1,0,0,0
BT22CSD057,1,0,1,0,0,0
BT22CSD058,1,0,1,0,1,1
BT22CSD059,1,0,1,0,0,0
BT22CSD060,1,0,1,0,0,0
BT22CSD061,1,0,1,0,1,1
BT22CSD062,1,0,1,0,0,0
BT22CSD063,1,0,1,0,0,0
BT22CSD064,1,0,1,0,0,0
BT22CSD065,1,0,1,0,0,0
